"Date","VWAP","Vol","Open","Close","High","Low"
2011-09-13,5.92923064835594,58.37138238,5.8,5.97,6,5.65
2011-09-14,5.59079751434376,61.14598362,5.58,5.53,5.72,5.52
2011-09-15,5.09427191413743,80.1407952,5.12,5.13,5.24,5
2011-09-16,4.85451504708367,39.9140068,4.82,4.85,4.87,4.8
2011-09-17,4.87,0.3,4.87,4.87,4.87,4.87
2011-09-18,4.8395755941018,119.8128,4.87,4.92,4.92,4.81
2011-09-19,4.9,20,4.9,4.9,4.9,4.9
2011-09-20,5.3880536932079,89.28071068,4.92,5.66,5.66,4.92
2011-09-21,5.70607487898239,17.62932238,5.7,5.66,5.79,5.66
2011-09-22,5.69696045585094,43.77842238,5.68,5.72,5.72,5.68
2011-09-23,5.70709887470457,20.68003681,5.7,5.72,5.72,5.7
2011-09-24,5.72249401876397,90.58706633,5.7,5.68,5.76,5.68
2011-09-25,6.05,12.22,6.05,6.05,6.05,6.05
2011-09-26,5.98307348099533,39.57846334,6.06,4.8,6.06,4.8
2011-09-27,4.89540167114907,24.3545,4.85,4.92,4.92,4.85
2011-09-28,4.86249770274702,83.0533258,4.9,4.82,4.91,4.82
2011-09-29,4.81634481363583,46.9645,4.81,4.82,4.82,4.81
2011-09-30,NA,0,NA,NA,NA,NA
2011-10-01,NA,0,NA,NA,NA,NA
2011-10-02,NA,0,NA,NA,NA,NA
2011-10-03,4.84777190896767,30.57595,4.85,4.87,4.87,4.83
2011-10-04,4.92473681348504,142.52162238,4.86,4.98,5.3,4.8
2011-10-05,5.02941874780162,113.72,4.92,4.92,6.25,4.8
2011-10-06,4.90884610661961,170.84354937,4.88,4.8,4.99,4.8
2011-10-07,4.68762890955199,94.64,4.8,4.61,4.81,4.59
2011-10-08,4.45553571428571,56,4.57,3.99,4.57,3.99
2011-10-09,3.89,11,3.89,3.89,3.89,3.89
2011-10-10,4.49830189838491,132.5,3.99,4.51,4.51,3.99
2011-10-11,3.99896452356557,78.08,3.98,4.1,4.1,3.98
2011-10-12,3.94396411175184,79.523525,3.95,3.93,3.99,3.93
2011-10-13,3.9529227931796,109.621766,3.93,3.97,3.97,3.93
2011-10-14,4.05,96.97751266,4.05,4.05,4.05,4.05
2011-10-15,NA,0,NA,NA,NA,NA
2011-10-16,NA,0,NA,NA,NA,NA
2011-10-17,3.92,10.24,3.92,3.92,3.92,3.92
2011-10-18,NA,0,NA,NA,NA,NA
2011-10-19,NA,0,NA,NA,NA,NA
2011-10-20,2.24755021482813,61.972332,2.22,2.24,2.29,2.22
2011-10-21,2.24035990620057,41.46334066,2.22,2.27,2.27,2.22
2011-10-22,NA,0,NA,NA,NA,NA
2011-10-23,NA,0,NA,NA,NA,NA
2011-10-24,2.92988069414317,64.54,2.99,2.92,2.99,2.92
2011-10-25,2.69146910747058,130.29932366,2.66,2.72,2.72,2.66
2011-10-26,2.6834156401477,268.26897266,2.72,2.69,3,2.67
2011-10-27,NA,0,NA,NA,NA,NA
2011-10-28,3.76235453517061,118.37787266,3.07,4.2,4.36,3.07
2011-10-29,3.87126835264328,88.432425,3.69,3.95,4.4,3.69
2011-10-30,3.67057326688686,116.381395,3.85,3.5,3.85,3.2
2011-10-31,3.28860505671644,68.99404308,3.25,3.3,3.55,3.2
2011-11-01,3.3224608758083,38.7771206,3.32,3.33,3.33,3.32
2011-11-02,NA,0,NA,NA,NA,NA
2011-11-03,NA,0,NA,NA,NA,NA
2011-11-04,3.32735777598393,117.08103867,3.27,3.55,3.55,3.21
2011-11-05,3.1314118169874,103.512,3.21,3,3.21,3
2011-11-06,2.95,203.388,2.95,2.95,2.95,2.95
2011-11-07,NA,0,NA,NA,NA,NA
2011-11-08,3.08,47.47212389,3.08,3.08,3.08,3.08
2011-11-09,3.19941894082973,58.86052015,3.09,3.3,3.3,3.09
2011-11-10,3.18938966016075,121.66777314,3.25,3.3,3.3,2.95
2011-11-11,3.3,65.434,3.3,3.3,3.3,3.3
2011-11-12,3.35,2.79,3.35,3.35,3.35,3.35
2011-11-13,3.35,29.48955224,3.35,3.35,3.35,3.35
2011-11-14,2.75830970556161,183.4,2.95,2.47,2.95,2.47
2011-11-15,2.63468292106912,97.3416118,2.99,2.5,3,2.5
2011-11-16,2.98080712167311,5.61666667,2.51,3,3,2.51
2011-11-17,2.78260878793621,17.01862876,3,2.99,3,2.5
2011-11-18,2.53606965174129,88.44,2.5,2.5,2.79,2.5
2011-11-19,2.44612780339274,48.87212355,2.5,2.43,2.5,2.43
2011-11-20,2.37,11,2.37,2.37,2.37,2.37
2011-11-21,2.43529773827873,290.52677579,2.45,2.25,3,2.25
2011-11-22,2.46926794333103,328.49334593,2.53,2.59,2.59,2.46
2011-11-23,NA,0,NA,NA,NA,NA
2011-11-24,2.87089669530751,9.1446088,2.54,3,3,2.54
2011-11-25,3.15305423257023,179.78726599,2.5,2.75,15,2.5
2011-11-26,2.77,10.09025271,2.77,2.77,2.77,2.77
2011-11-27,NA,0,NA,NA,NA,NA
2011-11-28,2.69921658550352,180.36714898,2.67,2.66,2.78,2.66
2011-11-29,2.773823270895,62.46464882,2.69,2.72,3.23,2.69
2011-11-30,3.19,14.53918495,3.19,3.19,3.19,3.19
2011-12-01,3.44678983722421,233.78003348,3.46,3.42,3.48,3.3
2011-12-02,3.14707436242592,131.75704018,3.45,3.04,3.45,3.04
2011-12-03,2.93,0.5,2.93,2.93,2.93,2.93
2011-12-04,NA,0,NA,NA,NA,NA
2011-12-05,2.95171139388152,207.3632656,2.82,2.93,2.99,2.82
2011-12-06,3.05275121612586,216.10928902,2.9,2.98,3.25,2.89
2011-12-07,3.19935267286461,233.20920018,3.05,3.3,3.35,3.05
2011-12-08,3.16774668381451,115.71772709,3.27,3.3,3.5,2.95
2011-12-09,NA,0,NA,NA,NA,NA
2011-12-10,3.11859577715594,12.284375,3.2,3.2,3.2,3
2011-12-11,3.27761001502779,157.77889484,3.17,3.27,3.37,3.17
2011-12-12,3.50885228737024,75.61897495,3.37,3.48,3.6,3.37
2011-12-13,3.45016000579836,66.15055522,3.25,3.56,3.59,3.25
2011-12-14,3.44170016269877,90.7647307,3.42,3.47,3.49,3.42
2011-12-15,3.43540032725758,102.74202898,3.39,3.45,3.45,3.39
2011-12-16,3.44060139356362,84.613001,3.25,3.44,3.5,3.25
2011-12-17,NA,0,NA,NA,NA,NA
2011-12-18,3.39792874894746,17.24285714,3.25,3.5,3.5,3.25
2011-12-19,3.80966811760506,134.73429197,3.5,3.85,3.98,3.5
2011-12-20,4.57003034577305,94.74335338,4.75,4.55,4.75,4.53
2011-12-21,4.38,20.89954338,4.38,4.38,4.38,4.38
2011-12-22,4.18381884480792,8.53526439,4.19,4.17,4.19,4.17
2011-12-23,4.18625701648856,149.49256188,3.86,4.22,4.35,3.84
2011-12-24,4.33,27.22479474,4.33,4.33,4.33,4.33
2011-12-25,4.30397596469138,24.182423,4.32,4.27,4.32,4.27
2011-12-26,4.29600078560781,56.73660508,4.27,4.33,4.33,4.27
2011-12-27,4.31066492955843,58.07386739,4.33,4.29,4.33,4.29
2011-12-28,4.26789587568033,35.55011655,4.29,4.3,4.3,4.25
2011-12-29,4.34832112064919,36.56096221,4.3,4.5,4.5,4.3
2011-12-30,4.23234753065829,56.74004969,4.26,4.21,4.5,4.21
2011-12-31,4.46212553229613,95.3178781,4.39,4.58,4.58,4.39
2012-01-01,4.89672993241367,21.602,4.58,5,5,4.58
2012-01-02,5,19.048,5,5,5,5
2012-01-03,5.27964067777345,88.03728092,5.32,5.29,5.32,5.14
2012-01-04,5.29757461686195,107.23326023,4.93,5.57,5.57,4.93
2012-01-05,6.19961419833894,94.80182926,5.72,6.65,6.65,5.72
2012-01-06,6.57577205742126,33.88274671,6.65,6,6.9,6
2012-01-07,6.8,0.29585799,6.8,6.8,6.8,6.8
2012-01-08,6.92,5,6.9,7,7,6.9
2012-01-09,6.62553022079726,66.8693229,6.99,6.3,6.99,6.23
2012-01-10,6.63355620316237,62.28998018,6.24,7.14,7.14,6.24
2012-01-11,7.05219374194747,105.35893402,7.14,7,7.33,6.25
2012-01-12,7.26670441249906,82.30163181,6.95,6.51,7.38,6.51
2012-01-13,7.04382957750508,48.97014484,6.8,6.6,7.36,6.6
2012-01-14,6.44373960560703,16.836,6.5,6.3,6.5,6.3
2012-01-15,7.15,16.6993007,7.15,7.15,7.15,7.15
2012-01-16,6.85808929954367,12.64929577,6.2,7.1,7.1,6.2
