date,pos,price
11/26/13,0.03897893,568.37
12/8/13,0.0433,806.70
12/18/13,0.06053,577.40
12/31/13,0.04423,746.10
1/12/14,0.00671,894.19
1/16/14,0.045639,854.53
1/27/14,0.04722,825.92
2/9/14,0.052331,745.26
2/23/14,0.06106107,623.47
3/7/14,0.1,667.40
4/17/14,0.1,536.70
5/1/15,0.1,469.40
5/11/14,0.1,445.70
6/2/14,0.2,648.80
6/28/14,0.05,608.00
7/2/14,0.05,652.00
7/7/14,0.05,632.20
7/15/14,0.05,634.20
7/23/14,0.05,632.20
7/30/14,0.05,593.60
8/5/14,0.05,589.20
8/11/14,0.05,592.60
8/18/14,0.1,476.20
8/24/14,0.1,510.90
9/3/14,0.1,483.30
9/8/14,0.1,467.90
9/16/14,0.1,473.10
9/22/14,0.1,412.60
9/28/14,0.1,380.50
10/5/14,0.1,311.40
10/12/14,0.1,378.10
10/23/14,0.1,369.10
10/27/14,0.1,357.50
11/2/14,0.1,330.40
11/10/14,0.1,381.70
11/17/14,0.1,408.60
11/24/14,0.1,387.30
11/30/14,0.1,381.20
12/11/14,0.1,353.00
12/14/14,0.1,356.90
12/26/14,0.1,331.40
12/30/14,0.1,317.90
1/4/15,0.1,274.40
1/10/15,0.1,279.60
1/20/15,0.1,215.00
1/24/15,0.1,250.80
1/31/15,0.2,222.40
2/7/15,0.1,231.70
2/14/15,0.21157392,207.92
2/20/15,0.30175635,248.54
3/6/15,0.27223548,275.50
4/1/15,0.3034,247.20
5/7/15,0.3203,234.15
